Banco/Billetera,Se requiere,Día de la promoción,Descuento,Rubro,Establecimiento,Tope de reintegro,Condiciones
Banco Galicia Eminent,MODO,Viernes,30%,Supermercados,Más Online,$20.000 por cliente y por mes + $5.000 y 10% adicional acreditando haberes,"Masivo CARTERA DE CONSUMO. Promoción del 25% de ahorro en compras realizadas, en el país. Tope de reintegro: $15000 en total por mes. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard y Tarjeta Galicia Más Mastercard Crédito escaneando el QR de MODO desde la app Galicia , app Galicia Mas y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en los comercios adheridos en compras presenciales y online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $250. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio. Eminent/Premium CARTERA DE CONSUMO. Promoción del 30% de ahorro en compras realizadas, en el país, para clientes Eminent. Tope de reintegro: $20000 en total por mes. Incluye compras con tarjetas adicionales. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard y Tarjeta Galicia Más Mastercard Crédito escaneando el QR de MODO desde la app Galicia , app Galicia Mas y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia.Promoción valida únicamente en los comercios adheridos en compras presenciales y online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $300. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio. ON TOP Haberes: CARTERA DE CONSUMO. Promoción del 10% de ahorro en compras realizadas en el país, en un pago sobre el precio de contado, para clientes Galicia Haberes. Tope de reintegro: $5000 en total por mes. Incluye compras con tarjetas adicionales. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en los comercios adheridos de forma presencial y en compras online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $100. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio.No aplica para clientes Galicia Mas."
Banco Galicia,MODO,Viernes,25%,Supermercados,Chango Más,$15.000 por cliente y por mes + $5.000 y 10% adicional acreditando haberes,"Masivo CARTERA DE CONSUMO. Promoción del 25% de ahorro en compras realizadas, en el país. Tope de reintegro: $15000 en total por mes. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard y Tarjeta Galicia Más Mastercard Crédito escaneando el QR de MODO desde la app Galicia , app Galicia Mas y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en los comercios adheridos en compras presenciales y online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $250. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio. Eminent/Premium CARTERA DE CONSUMO. Promoción del 30% de ahorro en compras realizadas, en el país, para clientes Eminent. Tope de reintegro: $20000 en total por mes. Incluye compras con tarjetas adicionales. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard y Tarjeta Galicia Más Mastercard Crédito escaneando el QR de MODO desde la app Galicia , app Galicia Mas y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia.Promoción valida únicamente en los comercios adheridos en compras presenciales y online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $300. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio. ON TOP Haberes: CARTERA DE CONSUMO. Promoción del 10% de ahorro en compras realizadas en el país, en un pago sobre el precio de contado, para clientes Galicia Haberes. Tope de reintegro: $5000 en total por mes. Incluye compras con tarjetas adicionales. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en los comercios adheridos de forma presencial y en compras online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $100. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio.No aplica para clientes Galicia Mas."
Banco Galicia,MODO,Viernes,25%,Supermercados,Más Online,$15.000 por cliente y por mes + $5.000 y 10% adicional acreditando haberes,"Masivo CARTERA DE CONSUMO. Promoción del 25% de ahorro en compras realizadas, en el país. Tope de reintegro: $15000 en total por mes. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard y Tarjeta Galicia Más Mastercard Crédito escaneando el QR de MODO desde la app Galicia , app Galicia Mas y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en los comercios adheridos en compras presenciales y online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $250. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio. Eminent/Premium CARTERA DE CONSUMO. Promoción del 30% de ahorro en compras realizadas, en el país, para clientes Eminent. Tope de reintegro: $20000 en total por mes. Incluye compras con tarjetas adicionales. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard y Tarjeta Galicia Más Mastercard Crédito escaneando el QR de MODO desde la app Galicia , app Galicia Mas y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia.Promoción valida únicamente en los comercios adheridos en compras presenciales y online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $300. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio. ON TOP Haberes: CARTERA DE CONSUMO. Promoción del 10% de ahorro en compras realizadas en el país, en un pago sobre el precio de contado, para clientes Galicia Haberes. Tope de reintegro: $5000 en total por mes. Incluye compras con tarjetas adicionales. Válida todos los días viernes comprendidos entre el 01/02/2025 y el 31/03/2025, para compras realizadas con Tarjetas Galicia Mastercard. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en los comercios adheridos de forma presencial y en compras online abonadas mediante la web los días viernes, o realizando el pedido mediante la web con retiro y pago en tienda programado para un día viernes . El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $100. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (""PDSA"") y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio.No aplica para clientes Galicia Mas."
Banco Entre Rios,MODO,Jueves,30%,Supermercados,Chango Más,$10.000,Pagando con tarjeta de Crédito Visa o Mastercard Desde la App Banco Entre Ríos o App MODO
Banco Entre Rios,MODO,Jueves,30%,Supermercados,Más Online,$10.000,"""Válido Cartera Consumo. Válido todos los días jueves desde el 01/01/2025 al 30/06/2025 inclusive. Beneficio pagando con MODO: 30% de reintegro abonando con tarjeta de crédito Visa o Mastercard emitidas por el Nuevo Banco de Entre Ríos S.A., utilizando Modo desde app de Banco Entre Ríos o app MODO. Aplica para compras presenciales los días JUEVES, compras a través de la web con pago online realizado un día JUEVES y compras a través de la web con pago en tienda, programando el día de retiro y pago para un día JUEVES. Tope de reintegro $10.000 por cuenta por semana. Es necesario que previo a realizar el pago el usuario tenga asociada a MODO la cuenta y tarjeta del Nuevo Banco de Entre Ríos S.A. con la que realizará la compra. Reintegro: Se realizará en la cuenta asociada del cliente dentro de los 30 días de realizada la compra. No aplica para pagos en cuotas. Ejemplo: En una compra de $40.000, el usuario recibirá dentro de los 30 días posteriores al pago un reintegro de $10.000 (tope de la promoción). Los beneficios informados no aplican a otras billeteras o plataformas de pago. Nuevo Banco de Entre Ríos S.A. solo informa el medio y las condiciones para el pago de los productos/servicios ofrecidos por el proveedor. Previo a la contratación del producto o servicio, verifique con el proveedor sus condiciones y alcance de la garantía. Nuevo Banco de Entre Ríos S.A. - Cuit 33-70799551-9 - Monte Caseros 128, Paraná, Entre Ríos. Para mayor información ingrese a www.bancoentrerios.com.ar/pagaconmodo, para consultar las promociones bancarias vigentes y comercios/ locales adheridos; y para conocer cómo utilizar MODO desde la App Banco Entre Ríos ingrese a www.bancoentrerios.com.ar/personas/modo"
Banco Comafi,MODO,Martes,20%,Supermercados,Chango Más,$10.000,"Promoción válida únicamente los días martes exclusivamente en locales adheridos desde el 01/03/2025 hasta el 31/05/2025.Aplica para clientes de que realicen compras presenciales y online en https://www.masonline.com.ar con pago en tienda programado para un día MARTES o bien pagando online a traves de MODO el día MARTES y retirando o coordinando el envio cualquier día de la semana con Tarjetas Visa débito y Credito Visa y Mastercard emitidas por Banco Comafi, comafi chicas, tarjetas proven, provencred.pertenecientes a clientes que además sean titulares de servicios de cuenta Comafi Ahorro, Global o Classic, Premium, Platinum, ÚNICO. Tope de reintegro semanal de $10.000. Quedan excluidas aquellas tarjetas emitidas a través del Proyecto Anses-Asignación Universal por Hijo y las tarjetas de crédito DIA, Credial, Business, corporativas, Visa débito banco Comafi, Visa Comafi Chicas y Tarjeta de Crédito emitidas para la acreditación del Crédito a Tasa Cero (Decreto 332/2020, Com. A 6993 y modif.) y Créditos a Tasa Cero Cultura (Decreto 332/2020, Com. A 7082 y modif.) Los descuentos se realizan sobre precio de lista, son automáticos y se acreditarán a los 60 días en el resumen de tarjeta del ingreso del consumo. No acumulable con otras promociones ni entre sí. Sólo válido para aquellos clientes que se encuentren al día en sus productos. El descuento no será aplicado en aquellas compras realizadas a través de Mercado Pago y Todo Pago (Sistema MPOS).La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), plataformas de pago y/o portales de pagos online ajenos a la empresa. No aplica electro. Banco Comafi no se responsabiliza por los cupones presentados por los establecimientos fuera de término, así como tampoco promociona ni garantiza los comercios, los productos y/o servicios o la calidad de los mismos. El descuento no será aplicado para aquellas compras realizadas con Ahora 3,6 ,12 y 18. La promoción no aplica cuando la compra se efectúe a través de “servicios de delivery”. Banco Comafi S.A. con domicilio en Av. Roque Sáenz Peña 660, piso 3, CUIT 30-60473101-8."
Banco Comafi,MODO,Martes,20%,Supermercados,Más Online,$10.000,"Promoción válida únicamente los días martes exclusivamente en locales adheridos desde el 01/03/2025 hasta el 31/05/2025.Aplica para clientes de que realicen compras presenciales y online en https://www.masonline.com.ar con pago en tienda programado para un día MARTES o bien pagando online a traves de MODO el día MARTES y retirando o coordinando el envio cualquier día de la semana con Tarjetas Visa débito y Credito Visa y Mastercard emitidas por Banco Comafi, comafi chicas, tarjetas proven, provencred.pertenecientes a clientes que además sean titulares de servicios de cuenta Comafi Ahorro, Global o Classic, Premium, Platinum, ÚNICO. Tope de reintegro semanal de $10.000. Quedan excluidas aquellas tarjetas emitidas a través del Proyecto Anses-Asignación Universal por Hijo y las tarjetas de crédito DIA, Credial, Business, corporativas, Visa débito banco Comafi, Visa Comafi Chicas y Tarjeta de Crédito emitidas para la acreditación del Crédito a Tasa Cero (Decreto 332/2020, Com. A 6993 y modif.) y Créditos a Tasa Cero Cultura (Decreto 332/2020, Com. A 7082 y modif.) Los descuentos se realizan sobre precio de lista, son automáticos y se acreditarán a los 60 días en el resumen de tarjeta del ingreso del consumo. No acumulable con otras promociones ni entre sí. Sólo válido para aquellos clientes que se encuentren al día en sus productos. El descuento no será aplicado en aquellas compras realizadas a través de Mercado Pago y Todo Pago (Sistema MPOS).La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), plataformas de pago y/o portales de pagos online ajenos a la empresa. No aplica electro. Banco Comafi no se responsabiliza por los cupones presentados por los establecimientos fuera de término, así como tampoco promociona ni garantiza los comercios, los productos y/o servicios o la calidad de los mismos. El descuento no será aplicado para aquellas compras realizadas con Ahora 3,6 ,12 y 18. La promoción no aplica cuando la compra se efectúe a través de “servicios de delivery”. Banco Comafi S.A. con domicilio en Av. Roque Sáenz Peña 660, piso 3, CUIT 30-60473101-8."
Banco Credicoop,MODO,Viernes,30%,Supermercados,Chango Más,$9.000,"Promoción válida con Tarjetas Cabal Credicoop (excepto Agrocabal y Cabal Mayorista) para consumos presenciales y consumos con QR de MODO a través de Banca Credicoop o MODO. Aplica a consumos de tipo familiar y efectuados en un pago. Vigente todos los días viernes hasta el 31 de marzo 2025. Ejemplo 1: en un consumo de $30.000 utilizando tarjetas Cabal físicas recibirá un reintegro de $6.000 (tope máximo por usuario/a por semana). Ejemplo 2: En un consumo de $30.000 abonado con QR de MODO a través de Modo o Banca Credicoop recibirá un reintegro de $9.000 (tope máximo por usuario/a por semana). El reintegro se verá reflejado en el primer o segundo resumen de la tarjeta de crédito Cabal o dentro de los 60 días en el caso de consumo con tarjeta de débito Cabal. Será condición esencial para participar de la misma que al momento de efectuar el reintegro, la tarjeta se encuentre vigente y en estado de cumplimiento normal en el caso de crédito, y la cuenta abierta en el caso de débito. También será requisito tener una cuenta abierta en el Banco, a título personal, adherida a MODO. No participan los consumos realizados a través de billeteras virtuales (excepto MODO), POS móviles, plataformas de pago y/o portales de pago online. Aplicable a la cartera de consumo. MODO es propiedad de Play Digital SA, y se encuentra sujeto a los términos y condiciones de uso disponibles en www.modo.com.ar"
Banco Credicoop,MODO,Viernes,30%,Supermercados,Más Online,$9.000,"Promoción válida con Tarjetas Cabal Credicoop (excepto Agrocabal y Cabal Mayorista) para consumos presenciales y consumos con QR de MODO a través de Banca Credicoop o MODO. Aplica a consumos de tipo familiar y efectuados en un pago. Vigente todos los días viernes hasta el 31 de marzo 2025. Ejemplo 1: en un consumo de $30.000 utilizando tarjetas Cabal físicas recibirá un reintegro de $6.000 (tope máximo por usuario/a por semana). Ejemplo 2: En un consumo de $30.000 abonado con QR de MODO a través de Modo o Banca Credicoop recibirá un reintegro de $9.000 (tope máximo por usuario/a por semana). El reintegro se verá reflejado en el primer o segundo resumen de la tarjeta de crédito Cabal o dentro de los 60 días en el caso de consumo con tarjeta de débito Cabal. Será condición esencial para participar de la misma que al momento de efectuar el reintegro, la tarjeta se encuentre vigente y en estado de cumplimiento normal en el caso de crédito, y la cuenta abierta en el caso de débito. También será requisito tener una cuenta abierta en el Banco, a título personal, adherida a MODO. No participan los consumos realizados a través de billeteras virtuales (excepto MODO), POS móviles, plataformas de pago y/o portales de pago online. Aplicable a la cartera de consumo. MODO es propiedad de Play Digital SA, y se encuentra sujeto a los términos y condiciones de uso disponibles en www.modo.com.ar"
Banco Ciudad,MODO,Lunes,30%,Supermercados,Chango Más,$20.000 + $10.000 y 10% adicional exclusivo Plan Sueldo y Jubilados,"(MDC) MODO-CIUDAD PROMOCIÓN OFRECIDA POR EL BANCO DE LA CIUDAD DE BUENOS AIRES, CUIT 30-99903208-3 (BANCO CIUDAD) LOS DÍAS LUNES DESDE EL 01/01/2025 AL 31/03/2025, EN TODA LA REPÚBLICA ARGENTINA, EN COMPRAS REALIZADAS EN TIENDAS FÍSICAS DE CHANGOMÁS, HIPER CHANGOMÁS, PUNTO MAYORISTA Y COMPRA ONLINE EN MASONLINE COORDINANDO EL ENVÍO Y/O RETIRO PARA LOS DÍAS LUNES Y PAGANDO EN TIENDA O BIEN ABONANDO ONLINE UN DÍA LUNES Y COORDINANDO EL ENVÍO PARA CUALQUIER DÍA, EXCLUSIVAMENTE ABONANDO CON EL QR DE MODO, DESDE BUEPP O LA APP MÓVIL DEL CIUDAD EN TERMINALES DE COBRO (O POSNET) DE LAS MARCAS PRISMA/ PAYWAY O FISERV CON TARJETAS DE CRÉDITO VISA O MASTERCARD DEL BANCO CIUDAD QUEDANDO EXCLUIDA DE LA PROMOCIÓN CUALQUIER OTRA TERMINAL DE PAGO O QR NO PERTENECIENTES A LA MENCIONADA. SE OTORGARÁ UN 20% DE DESCUENTO DURANTE DICHA VIGENCIA EN EL TOTAL DE LA COMPRA CON TOPE DE REINTEGRO DE $20.000 POR CLIENTE Y POR MES. ADEMÁS PARA CLIENTES DEL SEGMENTO PLAN SUELDO Y JUBILADOS CON ACREDITACIÓN REGULAR DE HABERES EN SU CUENTA DE BANCO CIUDAD SE ADICIONARÁ UN 10% DE DESCUENTO EN EL TOTAL DE LA COMPRA CON TOPE DE REINTEGRO DE $10.000 MENSUAL POR CLIENTE. SERÁ REQUISITO EXCLUYENTE, PREVIO A REALIZARSE LA COMPRA, TENER ASOCIADA A MODO LA CUENTA DEL BANCO CIUDAD. PARA COMPRAS REALIZADAS POR TITULARES DE TARJETAS ADICIONALES, EL TARJETAHABIENTE ADICIONAL DEBERÁ POSEER UNA CAJA DE AHORRO DEL BANCO CIUDAD ASOCIADA A MODO. SE CONSIDERARÁ PARA LA SEGMENTACIÓN DE CLIENTES PLAN SUELDO Y JUBILADOS ACREDITACIONES DE HABERES DURANTE LOS ÚLTIMOS 90 DÍAS DE EFECTUADA LA COMPRA. QUEDAN EXCLUIDAS DE LA PROMOCIÓN LAS CUENTAS EN MORA Y/O BLOQUEADAS POR MOTIVOS ADMINISTRATIVOS. LA PRESENTE PROMOCIÓN ES VÁLIDA SOLO PARA CONSUMOS DE TIPO FAMILIAR. EL DESCUENTO PODRÁ VISUALIZARSE VÍA REINTEGRO, A ACREDITAR EN LA CUENTA DEL CLIENTE DENTRO DE LOS 45 DÍAS POSTERIORES A LA FECHA DE REALIZADA LA COMPRA. SI EL CLIENTE TUVIERA MÁS DE UNA CUENTA, EL CRÉDITO SE REALIZARÁ EN CUALQUIERA DE ELLAS A ELECCIÓN DEL BANCO. EN CASO DE DUDA SOBRE EL DESTINO DEL CONSUMO, NO SE ACREDITARÁ EL MONTO DE LA BONIFICACIÓN HASTA TANTO SE ACLARE EL MISMO. NO INCLUYE PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, ELECTRODOMÉSTICOS Y CARNE VACUNA. LOS DESCUENTOS PUBLICADOS NO SON ACUMULABLES CON OTRAS PROMOCIONES. CONFORME RES. 915 E/2017, 51- E/2017 Y 240 E/2017. T.N.A., T.E.A. Y C.F.T.N.A (IVA INCLUIDO): 0,00% FIJO. T.N.A: TASA NOMINAL ANUAL, T.E.A: TASA EFECTIVA ANUAL, C.F.T.N.A: COSTO FINANCIERO TOTAL EXPRESADO"
